tester,trial,rightHanded,timestamp,posX,posY,posZ,posRelX,posRelY,posRelZ,velX,velY,velZ,quatW,quatX,quatY,quatZ,accRelX,accRelY,accRelZ,accAbsX,accAbsY,accAbsZ
M1,1,L,16.657,0.004665159,0.004282817,0.01120051,0,0,0,0,0,0,-0.9724841,0.2302107,-0.003564052,-0.03556757,0.1666667,0.9615384,0.48,0.09361263,0.08348739,-0.005061398
M1,1,L,33.324,0.00409952,0.004590675,0.01020424,-0.0005656388,0.000307858,-0.0009962693,-3.393764E-05,1.847111E-05,-5.977496E-05,-0.971454,0.2351711,-0.003623164,-0.03096322,0.08333334,0.8461539,0.48,0.02721446,-0.02476394,0.03866265
M1,1,L,50.005,0.004559459,0.005698875,0.009541713,-0.0001056995,0.001416057,-0.001658797,2.757264E-05,6.643482E-05,-3.971752E-05,-0.9705693,0.2390458,-0.00422293,-0.02888901,0.04166667,0.8076923,0.44,-0.007798774,-0.07943457,0.01419241
M1,1,L,66.661,0.004492452,0.00685285,0.008767329,-0.0001727063,0.002570033,-0.002433181,-4.022982E-06,6.928287E-05,-4.649276E-05,-0.9697746,0.2421373,-0.004253644,-0.02980804,0.04166667,0.8076923,0.48,-0.009737594,-0.06058311,0.04363463
M1,1,L,83.327,0.004241202,0.009019211,0.007692173,-0.0004239567,0.004736394,-0.003508337,-1.507562E-05,0.0001299868,-6.451194E-05,-0.9680972,0.2482514,-0.003648352,-0.03384735,0.08333334,0.7692308,0.48,0.02665934,-0.09119815,0.0492837
M1,1,L,100.001,0.004341196,0.01032852,0.006641559,-0.0003239624,0.006045699,-0.004558951,5.997014E-06,7.852375E-05,-6.300909E-05,-0.9675525,0.250149,-0.003214199,-0.03545843,0.125,0.7307692,0.48,0.06783609,-0.1216871,0.06335067
M1,1,L,116.663,0.004627772,0.01133937,0.005740598,-3.738701E-05,0.007056549,-0.005459912,1.719934E-05,6.0668E-05,-5.407284E-05,-0.9662946,0.2546578,-0.002088766,-0.03767902,0.125,0.6923077,0.48,0.06622114,-0.1541749,0.07422629
M1,1,L,133.34,0.004711568,0.01335084,0.004580081,4.640967E-05,0.009068027,-0.006620429,5.024682E-06,0.0001206138,-6.958785E-05,-0.9652614,0.2587086,-0.00061827,-0.03660499,0.08333334,0.6538461,0.48,0.02817729,-0.1898136,0.0875397
M1,1,L,150.019,0.004263189,0.01425499,0.003874309,-0.00040197,0.00997217,-0.007326201,-2.688288E-05,5.420845E-05,-4.231495E-05,-0.9646286,0.2613799,0.0010535,-0.03422008,0.04166667,0.5769231,0.48,-0.005763614,-0.2584699,0.1227855
M1,1,L,166.673,0.004045427,0.01486754,0.003574789,-0.0006197318,0.01058473,-0.007625721,-1.307565E-05,3.678138E-05,-1.798492E-05,-0.9645252,0.2618766,0.001836231,-0.03329148,0.08333334,0.4230769,0.52,0.04547561,-0.3678312,0.2337373
M1,1,L,183.346,0.004412739,0.01495229,0.003600813,-0.0002524201,0.01066947,-0.007599697,2.203033E-05,5.082641E-06,1.560899E-06,-0.9647935,0.2610708,0.0032785,-0.03169755,0.125,0.3076923,0.52,0.09455749,-0.4651635,0.2927598
M1,1,L,200.027,0.004794192,0.01448131,0.003790066,0.0001290329,0.01019849,-0.007410444,2.286751E-05,-2.823458E-05,1.134537E-05,-0.9647935,0.2610708,0.0032785,-0.03169755,0.125,0.3076923,0.52,0.09455749,-0.4651635,0.2927598
M1,1,L,216.678,0.005185822,0.01341629,0.004367158,0.0005206633,0.009133473,-0.006833352,2.351993E-05,-6.396106E-05,3.46581E-05,-0.9667934,0.2535201,0.002482018,-0.03212136,0.1666667,0.1923077,0.48,0.1444973,-0.587027,0.3220774
M1,1,L,233.379,0.005744666,0.01033919,0.005882464,0.001079507,0.006056368,-0.005318046,3.346169E-05,-0.0001842467,9.073145E-05,-0.9691081,0.2442735,-0.001107234,-0.03403918,0.1666667,0.1153846,0.4,0.1528116,-0.6983348,0.2945134
M1,1,L,250.021,0.006447492,0.006354392,0.008129627,0.001782333,0.002071574,-0.003070883,4.223208E-05,-0.000239442,0.0001350296,-0.9705018,0.2385433,-0.003097837,-0.03483611,0.125,0.1538462,0.28,0.1110943,-0.7260642,0.1741003
