tester,trial,rightHanded,timestamp,posX,posY,posZ,posRelX,posRelY,posRelZ,velX,velY,velZ,quatW,quatX,quatY,quatZ,accRelX,accRelY,accRelZ,accAbsX,accAbsY,accAbsZ
M1,1,L,16.66,0.006085467,0.03346601,-0.0141402,0,0,0,0,0,0,-0.9503055,0.300687,0.00342478,-0.08059292,0.08333334,0.7692308,0.56,-0.06478076,-0.04719728,0.01519676
M1,1,L,33.329,0.006769646,0.03455377,-0.01437362,0.0006841794,0.001087755,-0.0002334118,4.1045E-05,6.525614E-05,-1.400274E-05,-0.9481249,0.3062249,0.002004978,-0.08533073,0.2083333,0.8076923,0.64,0.03971804,0.04983091,0.04058272
M1,1,L,50.023,0.007579941,0.03558101,-0.01458928,0.001494475,0.002114996,-0.0004490763,4.853811E-05,6.153356E-05,-1.291868E-05,-0.9466728,0.3099021,0.001675104,-0.08813908,0.25,0.8461539,0.68,0.06648427,0.1112485,0.03978617
M1,1,L,66.664,0.00790895,0.03780676,-0.01518273,0.001823483,0.004340753,-0.00104253,1.977095E-05,0.0001337514,-3.566214E-05,-0.9466728,0.3099021,0.001675104,-0.08813908,0.25,0.8461539,0.72,0.06417224,0.1347067,0.07210281
M1,1,L,83.33501,0.00752704,0.03861324,-0.01591738,0.001441574,0.005147234,-0.001777172,-2.290859E-05,4.837624E-05,-4.406705E-05,-0.9461465,0.3121963,9.623035E-05,-0.08567649,0.25,0.8461539,0.64,0.07484407,0.08741474,0.002020895
M1,1,L,100.001,0.007484222,0.03962229,-0.01653166,0.001398755,0.006156281,-0.002391458,-2.569212E-06,6.054524E-05,-3.68586E-05,-0.9456758,0.3160008,-0.00447364,-0.07629375,0.125,0.7692308,0.64,-0.01507796,0.007279038,0.0458532
M1,1,L,116.671,0.008367602,0.04105476,-0.0169424,0.002282135,0.007588744,-0.002802193,5.29922E-05,8.593062E-05,-2.463921E-05,-0.9449958,0.3189111,-0.007146782,-0.07230297,0.125,0.6923077,0.64,0.00504946,-0.05282575,0.0857345
M1,1,L,133.34,0.009028461,0.04212481,-0.01731841,0.002942994,0.008658797,-0.003178209,3.964597E-05,6.419412E-05,-2.255778E-05,-0.9441217,0.3224547,-0.01208594,-0.06716511,0.125,0.6923077,0.64,0.01752204,-0.05231029,0.07805185
M1,1,L,150.01,0.009947447,0.04423812,-0.01775818,0.003861981,0.01077211,-0.003617972,5.512815E-05,0.0001267734,-2.638051E-05,-0.9438868,0.3239648,-0.01641626,-0.06208933,0.08333334,0.6923077,0.64,-0.01177685,-0.05675787,0.07739513
M1,1,L,166.679,0.01118145,0.04583903,-0.01752517,0.005095983,0.01237302,-0.003384963,7.402981E-05,9.604097E-05,1.397862E-05,-0.9438857,0.325215,-0.02390557,-0.05237974,0,0.7307692,0.64,-0.07654414,-0.03330106,0.05707747
M1,1,L,183.351,0.01240105,0.04733227,-0.01733649,0.006315582,0.01386626,-0.003196284,7.315244E-05,8.956598E-05,1.131708E-05,-0.9435825,0.3265272,-0.02828952,-0.04724112,0,0.6923077,0.64,-0.06008755,-0.06232458,0.0777449
M1,1,L,200.014,0.0142495,0.0487598,-0.01694021,0.00816403,0.01529379,-0.002800003,0.0001109313,8.567074E-05,2.378213E-05,-0.9427531,0.3291424,-0.03804117,-0.03787624,-0.08333334,0.6153846,0.6,-0.1141356,-0.1494915,0.09618239
M1,1,L,216.685,0.01556385,0.04957591,-0.01619107,0.009478383,0.0161099,-0.002050862,7.884066E-05,4.895366E-05,4.493675E-05,-0.942184,0.3302844,-0.04859041,-0.02899197,-0.2083333,0.5384616,0.52,-0.2160458,-0.2595161,0.09354939
M1,1,L,233.354,0.01707853,0.05061322,-0.01518451,0.01099307,0.01714721,-0.001044303,9.086838E-05,6.223019E-05,6.038508E-05,-0.9421872,0.3298243,-0.05401366,-0.02411674,-0.2916667,0.5,0.48,-0.2889438,-0.3126519,0.09763936
M1,1,L,250.021,0.01890099,0.05118206,-0.01390501,0.01281553,0.01771605,0.0002351925,0.0001093454,3.412951E-05,7.676816E-05,-0.9426657,0.3269835,-0.06541751,-0.01355638,-0.4166667,0.4615385,0.4,-0.3987011,-0.3828504,0.08241776
M1,1,L,266.693,0.02040807,0.05115911,-0.01244802,0.0143226,0.0176931,0.001692183,9.039564E-05,-1.376426E-06,8.739141E-05,-0.9438103,0.3213794,-0.07701263,-0.002567098,-0.4166667,0.5,0.4,-0.3814036,-0.34187,0.07076264
M1,1,L,283.356,0.02119396,0.05038819,-0.01065429,0.01510849,0.01692218,0.003485911,4.71634E-05,-4.626578E-05,0.0001076473,-0.9446567,0.3172919,-0.08330429,0.003130925,-0.5,0.5384616,0.32,-0.4673305,-0.3489164,0.005758543
M1,1,L,300.029,0.02116262,0.0485947,-0.008433774,0.01507715,0.01512869,0.005706429,-1.879514E-06,-0.0001075684,0.0001331805,-0.9459555,0.3106328,-0.09247191,0.01115649,-0.6666667,0.5769231,0.2,-0.6396902,-0.3650619,-0.07024792
M1,1,L,316.696,0.02019124,0.04591358,-0.005770482,0.01410577,0.01244757,0.008369721,-5.828169E-05,-0.0001608641,0.0001597944,-0.9467623,0.3064555,-0.09742495,0.01531767,-0.75,0.5769231,0.12,-0.7298632,-0.3958976,-0.1100009
M1,1,L,333.364,0.01768219,0.04241867,-0.001960911,0.01159673,0.008952662,0.01217929,-0.0001505305,-0.0002096774,0.000228556,-0.9483383,0.2986986,-0.1049721,0.0203601,-0.9166667,0.5384616,-0.08,-0.9255792,-0.510167,-0.1999633
M1,1,L,350.034,0.01400839,0.03738382,0.001596704,0.007922925,0.003917813,0.01573691,-0.0002203839,-0.0003020303,0.000213414,-0.9509128,0.290836,-0.104647,0.01511247,-1,0.4230769,-0.24,-1.041109,-0.6910667,-0.2392628
M1,1,L,366.7,0.008285675,0.03052174,0.004897729,0.002200209,-0.002944276,0.01903793,-0.000343377,-0.0004117421,0.0001980695,-0.9558268,0.2799769,-0.08944838,-0.002682549,-0.9166667,0.2307692,-0.36,-0.9757441,-0.957052,-0.2630801
M1,1,L,383.395,-0.000215292,0.02323054,0.008998081,-0.006300759,-0.01023547,0.02313828,-0.0005091921,-0.0004367292,0.0002456035,-0.9587514,0.2727985,-0.07897034,-0.01185151,-0.8333333,0.2692308,-0.48,-0.9100044,-1.005932,-0.4113227
M1,1,L,400.039,-0.01274583,0.01497044,0.01257822,-0.01883129,-0.01849557,0.02671842,-0.0007528554,-0.0004962806,0.0002151006,-0.9687775,0.2428833,-0.03793782,-0.03222489,-0.7916667,0.4615385,-0.76,-0.8690348,-0.9882288,-0.8136301
M1,1,L,416.704,-0.02916247,0.002783954,0.01609657,-0.03524794,-0.03068206,0.03023677,-0.0009850984,-0.000731263,0.0002111224,-0.9714928,0.2328946,-0.02349056,-0.03755121,-0.7916667,0.5769231,-0.96,-0.8639908,-0.9724915,-1.064866
M1,1,L,433.376,-0.04774579,-0.009084821,0.01950964,-0.05383125,-0.04255083,0.03364985,-0.001114642,-0.0007118987,0.0002047189,-0.9775366,0.1948104,0.04945741,-0.06344491,-0.5416667,0.9230769,-1.32,-0.4711024,-0.7265062,-1.609701
M1,1,L,450.041,-0.07087278,-0.02737637,0.01981425,-0.07695825,-0.06084238,0.03395446,-0.001387758,-0.001097602,1.827839E-05,-0.971869,0.1492102,0.1535765,-0.09808726,0.08333334,1.153846,-1.56,0.4220351,-0.3054675,-1.763921
M1,1,L,466.716,-0.08049645,-0.03841048,0.0132235,-0.08658192,-0.0718765,0.0273637,-0.0005771304,-0.0006617153,-0.0003952471,-0.9647502,0.1286082,0.2011047,-0.1107875,0.5416667,1.423077,-1.44,0.8537658,0.1917069,-1.497688
