tester,trial,rightHanded,timestamp,posX,posY,posZ,posRelX,posRelY,posRelZ,velX,velY,velZ,quatW,quatX,quatY,quatZ,accRelX,accRelY,accRelZ,accAbsX,accAbsY,accAbsZ
M1,1,L,16.664,-0.005430713,0.05674288,-0.03852795,0,0,0,0,0,0,-0.9116626,0.3497727,0.009725552,-0.2154896,0.4166667,0.6153846,0.68,0.02572404,0.005025029,0.06302558
M1,1,L,33.329,-0.005056974,0.05780703,-0.03926052,0.0003737397,0.001064152,-0.0007325709,2.242662E-05,6.385546E-05,-4.395864E-05,-0.9107084,0.3506723,0.0104496,-0.218014,0.5,0.6153846,0.64,0.1024659,0.0136137,0.01965962
M1,1,L,49.99,-0.004867889,0.05850682,-0.03991845,0.0005628243,0.00176394,-0.001390502,1.134893E-05,4.200158E-05,-3.948928E-05,-0.9094737,0.3523217,0.01208737,-0.220411,0.4583333,0.5769231,0.64,0.07381266,-0.02796584,0.0470207
M1,1,L,66.69801,-0.004885563,0.05983649,-0.04068904,0.0005451506,0.003093615,-0.002161086,-1.057799E-06,7.958312E-05,-4.612063E-05,-0.9088823,0.3536634,0.01426294,-0.2205715,0.4583333,0.5769231,0.64,0.07161067,-0.02772856,0.04549526
M1,1,L,83.33701,-0.004118946,0.06065252,-0.04109642,0.001311767,0.003909647,-0.002568468,4.607346E-05,4.904334E-05,-2.448361E-05,-0.9087891,0.3540989,0.01559791,-0.220166,0.5,0.5,0.68,0.1314178,-0.03527218,0.1201235
M1,1,L,100.002,-0.003024034,0.06128529,-0.04162987,0.002406679,0.00454241,-0.003101915,6.570129E-05,3.796957E-05,-3.201E-05,-0.9093776,0.353595,0.01748553,-0.2183968,0.625,0.3846154,0.68,0.2903292,-0.06014997,0.1826056
M1,1,L,116.678,-0.001995312,0.06145968,-0.04159732,0.003435401,0.004716799,-0.003069371,6.168877E-05,1.045744E-05,1.951555E-06,-0.9121233,0.3502063,0.01745659,-0.212325,0.6666667,0.3076923,0.72,0.3607304,-0.07450682,0.2661859
M1,1,L,133.343,-0.001120046,0.06144348,-0.04202792,0.004310668,0.004700601,-0.00349997,5.252124E-05,-9.719512E-07,-2.583852E-05,-0.9134932,0.3482658,0.01634062,-0.2097002,0.6666667,0.3076923,0.68,0.3736742,-0.1029993,0.2393251
M1,1,L,150.006,0.001199061,0.06098011,-0.04174206,0.006629774,0.004237235,-0.003214106,0.0001391769,-2.780809E-05,1.715559E-05,-0.9192451,0.3399086,0.009106619,-0.1984126,0.5833333,0.3076923,0.64,0.3299316,-0.1735995,0.2296947
M1,1,L,166.692,0.004230078,0.05989423,-0.04065831,0.009660792,0.003151357,-0.002130359,0.0001816504,-6.507719E-05,6.494948E-05,-0.9222991,0.3354874,0.001040331,-0.1918629,0.5416667,0.2692308,0.56,0.3335246,-0.2727897,0.1985305
M1,1,L,183.346,0.007934451,0.05899215,-0.03925274,0.01336516,0.002249271,-0.0007247925,0.0002224313,-5.416633E-05,8.439811E-05,-0.9240053,0.3326474,-0.003934402,-0.1885319,0.5416667,0.07692308,0.48,0.4194255,-0.46248,0.2547045
