tester,trial,rightHanded,timestamp,posX,posY,posZ,posRelX,posRelY,posRelZ,velX,velY,velZ,quatW,quatX,quatY,quatZ,accRelX,accRelY,accRelZ,accAbsX,accAbsY,accAbsZ
M1,1,L,16.664,0.04347367,-0.01143911,0.02665196,0,0,0,0,0,0,-0.9916068,0.1041947,-0.06397489,0.04203279,-0.2083333,1,0.28,-0.09788574,0.05125093,0.08421753
M1,1,L,33.331,0.04335275,-0.01033716,0.02703473,-0.0001209155,0.001101956,0.0003827736,-7.254782E-06,6.611602E-05,2.296595E-05,-0.9911206,0.1054482,-0.06754094,0.04470994,-0.25,1,0.24,-0.1379431,0.04819715,0.04852312
M1,1,L,49.998,0.0433794,-0.009982638,0.02758479,-9.426475E-05,0.001456477,0.000932835,1.599012E-06,2.127083E-05,3.300302E-05,-0.9906916,0.1056926,-0.07126673,0.04775284,-0.3333333,1,0.2,-0.218615,0.0501802,0.02098024
M1,1,L,66.68401,0.04310162,-0.0088185,0.028216,-0.0003720522,0.002620615,0.001564048,-1.664793E-05,6.976734E-05,3.782889E-05,-0.990173,0.1062356,-0.07536203,0.05091094,-0.375,1,0.2,-0.2519755,0.05659866,0.02706668
M1,1,L,83.33701,0.04245168,-0.007785365,0.02909684,-0.001021989,0.00365375,0.002444886,-3.902819E-05,6.203895E-05,5.289361E-05,-0.9900562,0.1062403,-0.07617809,0.05194874,-0.4166667,1.038462,0.16,-0.2936694,0.09141135,-0.01389556
M1,1,L,99.996,0.04202409,-0.006762385,0.02989025,-0.001449578,0.004676729,0.003238291,-2.566714E-05,6.140703E-05,4.762621E-05,-0.9896302,0.1055816,-0.07834709,0.05784669,-0.5416667,1.038462,0.08,-0.4162921,0.09533072,-0.07181019
M1,1,L,116.675,0.04055489,-0.005942695,0.03115751,-0.00291878,0.00549642,0.004505552,-8.808694E-05,4.914506E-05,7.597947E-05,-0.9891375,0.1048784,-0.07888433,0.06621841,-0.6666667,1,-0.04,-0.5448693,0.05971324,-0.161771
M1,1,L,133.342,0.03780308,-0.004221641,0.03261504,-0.005670585,0.007217474,0.00596308,-0.0001651049,0.0001032611,8.744984E-05,-0.9888311,0.1048543,-0.07649322,0.0732635,-0.75,0.9615384,-0.12,-0.6292754,0.027233,-0.2241897
M1,1,L,150.008,0.03445631,-0.002219826,0.03432638,-0.009017363,0.009219289,0.007674426,-0.0002008147,0.0001201137,0.0001026849,-0.9888282,0.1048803,-0.07603838,0.07373607,-0.7916667,0.9615384,-0.16,-0.6755591,0.02660787,-0.2580473
M1,1,L,166.682,0.02949999,-0.0005693287,0.03611685,-0.01397368,0.01086979,0.00946489,-0.000297248,9.89863E-05,0.0001073806,-0.9895453,0.105971,-0.06195756,0.0757066,-0.8333333,1.038462,-0.28,-0.7142527,0.08293891,-0.4102844
M1,1,L,183.351,0.0229559,0.001596704,0.03710955,-0.02051777,0.01303582,0.01045759,-0.0003925903,0.0001299437,5.955366E-05,-0.989916,0.1067633,-0.05566374,0.07462822,-0.7916667,1.038462,-0.32,-0.6772162,0.06461918,-0.4642228
M1,1,L,200.011,0.01448962,0.004208028,0.03813359,-0.02898405,0.01564714,0.01148164,-0.0005081799,0.0001567421,6.146727E-05,-0.990936,0.1103533,-0.03266714,0.06928861,-0.6666667,1.115385,-0.36,-0.5425309,0.09675837,-0.566488
M1,1,L,216.685,0.003152028,0.007594615,0.03859299,-0.04032164,0.01903373,0.01194103,-0.0006799565,0.0002031059,2.75516E-05,-0.9912303,0.1184131,0.001401897,0.05864149,-0.5416667,1.153846,-0.4,-0.4078598,0.08237863,-0.6684839
M1,1,L,233.354,-0.0105694,0.01007879,0.03819995,-0.05404307,0.0215179,0.011548,-0.0008231707,0.0001490296,-2.357869E-05,-0.9897518,0.1299426,0.03578428,0.04717938,-0.5,1.192308,-0.48,-0.3459382,0.06369412,-0.8067708
M1,1,L,250.021,-0.02523158,0.01301877,0.03633972,-0.06870525,0.02445789,0.009687766,-0.0008797127,0.0001763954,-0.0001116116,-0.9882792,0.1370846,0.05273285,0.04160943,-0.4583333,1.115385,-0.56,-0.2943582,-0.05352288,-0.8861639
M1,1,L,266.69,-0.04480144,0.01801775,0.03366391,-0.0882751,0.02945687,0.00701195,-0.001174028,0.000299897,-0.0001605266,-0.9819105,0.1582309,0.1008363,0.0254316,-0.25,0.9230769,-0.6,-0.05504942,-0.3093508,-0.8913721
M1,1,L,283.359,-0.06238229,0.02129968,0.02971434,-0.105856,0.03273879,0.003062382,-0.001054703,0.0001968876,-0.0002369408,-0.9712251,0.1799368,0.1558447,0.007540519,0.1666667,0.8461539,-0.44,0.3504047,-0.3566507,-0.6329868
M1,1,L,300.025,-0.08122042,0.02701923,0.02598315,-0.1246941,0.03845835,-0.0006688014,-0.001130332,0.0003431868,-0.0002238797,-0.9615772,0.1929589,0.1952739,-0.002072142,0.2916667,0.7692308,-0.4,0.4748607,-0.4130275,-0.5164844
