tester,trial,rightHanded,timestamp,posX,posY,posZ,posRelX,posRelY,posRelZ,velX,velY,velZ,quatW,quatX,quatY,quatZ,accRelX,accRelY,accRelZ,accAbsX,accAbsY,accAbsZ
M1,1,L,19.583,0.0206112,0.1256782,-0.1131583,0,0,0,0,0,0,-0.9975632,0.06118033,0.02835966,0.01789955,-0.04166667,0.8846154,0.12,-0.01343888,-0.106461,0.009379593
M1,1,L,36.27,0.0198157,0.1266842,-0.1137487,-0.0007954985,0.001005948,-0.0005903691,-4.767174E-05,6.02833E-05,-3.537898E-05,-0.997428,0.06332555,0.0297599,0.01554416,-0.04166667,0.9230769,0.12,-0.0163582,-0.06836742,0.000515367
M1,1,L,52.91,0.02003941,0.1270096,-0.1142848,-0.0005717892,0.001331419,-0.001126513,1.344406E-05,1.955956E-05,-3.222017E-05,-0.9974263,0.06337595,0.02993895,0.01509803,0,0.9615384,0.12,0.02567159,-0.03134441,-0.001872959
M1,1,L,69.578,0.01973298,0.1279847,-0.1145541,-0.0008782241,0.002306476,-0.001395829,-1.838462E-05,5.849876E-05,-1.615767E-05,-0.9973053,0.0650631,0.03186339,0.01156256,0.04166667,0.9615384,0.16,0.0578054,-0.02676564,0.03695562
M1,1,L,86.262,0.01953928,0.1284627,-0.1148658,-0.001071919,0.002784535,-0.001707539,-1.16096E-05,2.865374E-05,-1.868317E-05,-0.997072,0.06809545,0.03371403,0.008594233,0.04166667,1,0.2,0.05008344,0.01732981,0.06532794
M1,1,L,102.92,0.01952227,0.1290987,-0.1159584,-0.001088934,0.003420517,-0.0028001,-1.021447E-06,3.817873E-05,-6.558772E-05,-0.9970524,0.06838559,0.03377829,0.00831177,0.04166667,0.9230769,0.16,0.05053462,-0.06427372,0.03563244
M1,1,L,119.586,0.01938132,0.1293204,-0.1164055,-0.00122988,0.003642157,-0.003247187,-8.457118E-06,1.329892E-05,-2.682629E-05,-0.9969257,0.07052512,0.03367179,0.005619776,0.04166667,0.9230769,0.16,0.04568168,-0.06387353,0.03142535
M1,1,L,136.254,0.01948768,0.1295261,-0.1170071,-0.001123525,0.003847897,-0.003848784,6.380797E-06,1.234343E-05,-3.609292E-05,-0.9968602,0.07192972,0.0330114,0.002468734,0.04166667,0.9615384,0.16,0.0404007,-0.02545893,0.02301741
M1,1,L,152.922,0.01983002,0.1295703,-0.1173651,-0.0007811841,0.003892109,-0.004206821,2.053882E-05,2.652492E-06,-2.148054E-05,-0.9967957,0.0730538,0.03253145,0.001808079,0.04166667,0.9615384,0.16,0.03927998,-0.02536207,0.02074202
M1,1,L,169.592,0.02026845,0.129765,-0.117642,-0.0003427509,0.004086778,-0.00448373,2.630073E-05,1.167779E-05,-1.661117E-05,-0.9966428,0.07532614,0.03194319,0.002962751,0,0.9615384,0.16,0.0001896054,-0.02533633,0.01366815
M1,1,L,186.263,0.02110441,0.1296635,-0.1175024,0.0004932098,0.003985256,-0.00434415,5.014458E-05,-6.089711E-06,8.37257E-06,-0.9965069,0.07718208,0.03169025,0.003558228,0,0.9615384,0.16,0.00150496,-0.02529377,0.01008061
M1,1,L,202.926,0.02251936,0.1292125,-0.1173969,0.001908155,0.003534257,-0.00423865,8.491542E-05,-2.706587E-05,6.331408E-06,-0.9967405,0.07417374,0.03152374,0.003594908,0,1,0.12,0.004365807,0.006741524,-0.02919621
M1,1,L,219.598,0.02355878,0.1289641,-0.1169156,0.002947584,0.0032859,-0.003757268,6.234577E-05,-1.489669E-05,2.887368E-05,-0.9967293,0.07431592,0.03167799,0.002102884,0.04166667,1,0.16,0.04042925,0.01269162,0.01254331
M1,1,L,236.266,0.024932,0.1283946,-0.1169215,0.004320797,0.002716422,-0.003763169,8.238617E-05,-3.416593E-05,-3.540233E-07,-0.99676,0.07367951,0.03225749,0.0006636342,0.08333334,1,0.12,0.08153126,0.00705862,-0.0230244
M1,1,L,252.932,0.02541189,0.1282036,-0.1175774,0.004800687,0.002525389,-0.004419133,2.879455E-05,-1.146243E-05,-3.935941E-05,-0.9967461,0.07361273,0.03283817,-6.127552E-05,0.08333334,1,0.16,0.07739061,0.01305413,0.01662493
M1,1,L,269.606,0.02639757,0.127945,-0.1175287,0.00578637,0.002266809,-0.004370451,5.911498E-05,-1.550796E-05,2.919639E-06,-0.9967105,0.07368556,0.03370282,-0.001714235,0.08333334,0.9615384,0.16,0.07384372,-0.02472669,0.0221287
M1,1,L,286.276,0.02787941,0.1273437,-0.1171513,0.007268207,0.001665503,-0.003992975,8.88925E-05,-3.607121E-05,2.264406E-05,-0.9966115,0.07442674,0.03456606,-0.005617215,0.08333334,0.9615384,0.16,0.06615315,-0.02413929,0.02050013
M1,1,L,302.941,0.02973046,0.1275517,-0.1169599,0.009119257,0.001873463,-0.003801599,0.000111074,1.247888E-05,1.148368E-05,-0.9964167,0.07520125,0.03616902,-0.01380074,0.2083333,1.038462,0.16,0.1729329,0.05700195,0.01569143
M1,1,L,319.612,0.03188383,0.1269363,-0.1166223,0.01127263,0.001258105,-0.003464028,0.0001291685,-3.691185E-05,2.024896E-05,-0.9962539,0.07574437,0.03718792,-0.01892229,0.25,1.038462,0.16,0.2035126,0.06055844,0.01734183
M1,1,L,336.28,0.03379643,0.1269913,-0.1161985,0.01318523,0.001313075,-0.003040165,0.0001147469,3.297959E-06,2.542978E-05,-0.995958,0.07677138,0.0384857,-0.02631914,0.3333333,0.9615384,0.16,0.2742447,-0.00753969,0.03285797
M1,1,L,352.949,0.03619796,0.1268924,-0.1158635,0.01558676,0.001214162,-0.002705202,0.0001440716,-5.934012E-06,2.009501E-05,-0.9954767,0.07847623,0.03924727,-0.03643297,0.3333333,0.9615384,0.16,0.2541808,-0.002084136,0.0286938
M1,1,L,369.618,0.03951057,0.1262244,-0.115497,0.01889937,0.0005461723,-0.002338678,0.0001987289,-4.007373E-05,2.198834E-05,-0.995034,0.07989375,0.03958179,-0.04424571,0.375,0.9615384,0.16,0.2800383,0.005768538,0.02809701
M1,1,L,386.286,0.04272517,0.1267057,-0.1148376,0.02211397,0.001027524,-0.001679271,0.0001928604,2.887882E-05,3.95612E-05,-0.9941205,0.08245685,0.04000307,-0.05766327,0.4166667,0.9230769,0.16,0.2985753,-0.019602,0.03089828
M1,1,L,402.966,0.0474047,0.1268825,-0.1138328,0.0267935,0.001204312,-0.0006744862,0.000280547,1.059875E-05,6.023884E-05,-0.9930418,0.08450928,0.04032993,-0.07141251,0.4583333,0.9615384,0.16,0.3075988,0.03206038,0.0214483
M1,1,L,419.623,0.05267536,0.126919,-0.1136915,0.03206415,0.00124082,-0.0005332455,0.0003164232,2.191744E-06,8.479366E-06,-0.992662,0.08509403,0.04038212,-0.07583208,0.5833333,1,0.16,0.4161508,0.09189785,0.02133573
M1,1,L,436.29,0.05943463,0.1260201,-0.1122128,0.03882343,0.000341922,0.0009454861,0.0004055485,-5.39328E-05,8.872215E-05,-0.9919403,0.08546472,0.03904388,-0.08500463,0.6666667,1.076923,0.2,0.4621779,0.1950858,0.04867828
M1,1,L,452.958,0.06663238,0.1256063,-0.1113853,0.04602118,-7.195771E-05,0.001773007,0.0004318306,-2.48308E-05,4.964729E-05,-0.9917928,0.08496597,0.03374764,-0.08938059,0.6666667,1.076923,0.2,0.4533142,0.1986873,0.04316005
M1,1,L,469.63,0.07597283,0.1257832,-0.1099378,0.05536162,0.0001049936,0.003220506,0.0005602463,1.061366E-05,8.682199E-05,-0.991683,0.08552697,0.02793757,-0.09202988,0.6666667,1.076923,0.2,0.4486797,0.2006958,0.03498985
