tester,trial,rightHanded,timestamp,posX,posY,posZ,posRelX,posRelY,posRelZ,velX,velY,velZ,quatW,quatX,quatY,quatZ,accRelX,accRelY,accRelZ,accAbsX,accAbsY,accAbsZ
M1,1,L,16.662,0.02712719,-0.01794773,0.02704459,0,0,0,0,0,0,-0.9938244,0.1030483,-0.03951337,-0.01152267,-0.125,0.9615384,0.2,-0.1391962,-0.01983601,0.00917164
M1,1,L,33.329,0.02719608,-0.01989756,0.02742375,6.888807E-05,-0.001949824,0.0003791526,4.1332E-06,-0.0001169871,2.27487E-05,-0.9943686,0.09882384,-0.03695355,-0.009970302,-0.04166667,1,0.2,-0.05437262,0.01920128,0.002893773
M1,1,L,49.996,0.0271097,-0.02120321,0.0274966,-1.749396E-05,-0.003255479,0.0004520044,-5.182818E-06,-7.83377E-05,4.371019E-06,-0.9947864,0.0960062,-0.03302446,-0.009611554,0,0.9615384,0.24,-0.009158441,-0.01036954,0.05199793
M1,1,L,66.666,0.02591178,-0.02302489,0.02821722,-0.001215409,-0.005077161,0.001172625,-7.186056E-05,-0.0001092791,4.322856E-05,-0.9949117,0.09533123,-0.03066112,-0.01107592,0,1.038462,0.24,-0.01482192,0.0650208,0.03890364
M1,1,L,83.35201,0.02470402,-0.02479727,0.02877448,-0.002423171,-0.006849535,0.001729891,-7.23817E-05,-0.0001062192,3.339722E-05,-0.9949828,0.09473452,-0.02498093,-0.02026118,0.04166667,1.076923,0.24,0.004072097,0.1036791,0.03123167
M1,1,L,99.996,0.02339372,-0.02564796,0.02960971,-0.003733475,-0.007700227,0.002565116,-7.87253E-05,-5.111106E-05,5.018175E-05,-0.9949965,0.09456759,-0.02476073,-0.02063911,0.08333334,1.230769,0.2,0.03592057,0.2485816,-0.03861298
M1,1,L,116.671,0.02124005,-0.02677053,0.03016721,-0.005887143,-0.008822799,0.00312262,-0.0001291555,-6.732061E-05,3.343355E-05,-0.9950367,0.09332477,-0.02007226,-0.0281,0.1666667,1.307692,0.2,0.09518246,0.3289144,-0.05257021
M1,1,L,133.344,0.01949487,-0.0272544,0.03073821,-0.007632319,-0.009306669,0.003693618,-0.0001046707,-2.902119E-05,3.424683E-05,-0.9948753,0.09408762,-0.0167308,-0.03302496,0.1666667,1.346154,0.12,0.07676306,0.352409,-0.139303
M1,1,L,150.006,0.01818678,-0.02734929,0.03195402,-0.00894041,-0.00940156,0.004909426,-7.850742E-05,-5.695029E-06,7.29689E-05,-0.9944829,0.09740584,-0.01574067,-0.0356116,0.08333334,1.5,0.04,-0.02678959,0.481173,-0.2528896
M1,1,L,166.68,0.01594132,-0.02593528,0.03263887,-0.01118587,-0.007987544,0.005594276,-0.0001346683,8.480365E-05,4.107293E-05,-0.9939615,0.1019731,-0.01487818,-0.03769237,0.04166667,1.538462,0.04,-0.07753901,0.5132438,-0.2725455
M1,1,L,183.343,0.01487366,-0.02246771,0.03246675,-0.01225353,-0.004519977,0.005422153,-6.407398E-05,0.0002080999,-1.032967E-05,-0.9926003,0.1133048,-0.01281019,-0.0417432,0.125,1.769231,0.08,-0.02594858,0.7457142,-0.3225074
M1,1,L,200.014,0.01394027,-0.01786061,0.03195182,-0.01318692,8.711964E-05,0.004907228,-5.59886E-05,0.0002763538,-3.088743E-05,-0.9918177,0.1195947,-0.01211047,-0.04299051,0.1666667,1.807692,0.08,0.007709133,0.782092,-0.35499
M1,1,L,216.683,0.01296031,-0.01194035,0.03151238,-0.01416688,0.006007381,0.004467785,-5.878912E-05,0.0003551658,-2.636286E-05,-0.9884598,0.1436443,-0.01094763,-0.04683723,0.2916667,1.807692,0.08,0.1179061,0.7740514,-0.44504
M1,1,L,233.348,0.01172159,-0.003286451,0.02924997,-0.0154056,0.01466128,0.002205372,-7.433102E-05,0.0005192861,-0.0001357584,-0.9862486,0.1579081,-0.01129694,-0.0474456,0.3333333,1.692308,0.08,0.1679169,0.6553031,-0.4617271
M1,1,L,250.019,0.009597044,0.007973894,0.02610055,-0.01753015,0.02592163,-0.0009440407,-0.0001274395,0.0006754448,-0.0001889156,-0.9757957,0.2129628,-0.01486992,-0.04741774,0.25,1.538462,0.12,0.09771091,0.4635899,-0.5404823
