tester,trial,rightHanded,timestamp,posX,posY,posZ,posRelX,posRelY,posRelZ,velX,velY,velZ,quatW,quatX,quatY,quatZ,accRelX,accRelY,accRelZ,accAbsX,accAbsY,accAbsZ
M1,1,L,16.659,0.04573247,-0.05193324,0.02957653,0,0,0,0,0,0,-0.9893943,0.1155392,-0.08702709,0.01326263,-0.08333334,1.038462,0.24,-0.03360645,0.06855023,0.004233907
M1,1,L,33.376,0.04621653,-0.05270115,0.03008003,0.0004840642,-0.0007679015,0.0005035028,2.89564E-05,-4.593535E-05,3.01192E-05,-0.9890945,0.1123136,-0.09383518,0.01651404,-0.25,1.076923,0.24,-0.1875397,0.1151817,0.03259147
M1,1,L,49.998,0.04616264,-0.05355447,0.03117289,0.0004301742,-0.001621224,0.001596369,-3.242092E-06,-5.133693E-05,6.574817E-05,-0.9890945,0.1123136,-0.09383518,0.01651404,-0.25,1.076923,0.24,-0.1875397,0.1151817,0.03259147
M1,1,L,66.658,0.04667562,-0.05451412,0.03264547,0.0009431541,-0.002580881,0.003068946,3.07911E-05,-5.760245E-05,8.838997E-05,-0.9885963,0.111324,-0.1000437,0.01659857,-0.375,1.192308,0.24,-0.3063547,0.2347871,0.03564103
M1,1,L,83.333,0.04660068,-0.05444774,0.03346724,0.0008682087,-0.002514496,0.003890716,-4.494477E-06,3.981091E-06,4.928152E-05,-0.9886051,0.1108768,-0.1003445,0.01723984,-0.375,1.230769,0.2,-0.3122141,0.2640567,-0.01005367
M1,1,L,100.001,0.0455206,-0.05401269,0.03467489,-0.0002118647,-0.002079442,0.005098365,-6.479918E-05,2.610116E-05,7.245315E-05,-0.9889063,0.108036,-0.09925058,0.02327989,-0.3333333,1.269231,0.16,-0.2629717,0.2941715,-0.06019893
M1,1,L,116.66,0.04297025,-0.0526372,0.03703471,-0.002762217,-0.0007039532,0.00745818,-0.0001530916,8.256733E-05,0.0001416541,-0.9892173,0.106088,-0.09732978,0.02685869,-0.375,1.384615,0.12,-0.2985808,0.4036812,-0.1127549
M1,1,L,133.34,0.04034768,-0.05162925,0.03808035,-0.005384788,0.0003039986,0.008503824,-0.0001572284,6.042873E-05,6.268847E-05,-0.9892173,0.106088,-0.09732978,0.02685869,-0.375,1.384615,0.12,-0.2985808,0.4036812,-0.1127549
M1,1,L,150.006,0.03494054,-0.04973656,0.03869928,-0.01079192,0.002196684,0.009122752,-0.0003244411,0.0001135657,3.713711E-05,-0.9894761,0.1079396,-0.09205342,0.02850125,-0.4166667,1.538462,0.2,-0.3150635,0.5735663,-0.07140923
M1,1,L,166.674,0.0295084,-0.04547746,0.03956392,-0.01622407,0.006455779,0.009987392,-0.0003259025,0.0002555252,5.187424E-05,-0.9894761,0.1079396,-0.09205342,0.02850125,-0.4166667,1.538462,0.2,-0.3150635,0.5735663,-0.07140923
M1,1,L,183.366,0.02553543,-0.03948863,0.04191332,-0.02019704,0.01244462,0.0123368,-0.0002380166,0.0003587847,0.0001407504,-0.9892513,0.1148053,-0.08286843,0.03653036,-0.4583333,1.653846,0.16,-0.3351763,0.6830572,-0.1607852
