tester,trial,rightHanded,timestamp,posX,posY,posZ,posRelX,posRelY,posRelZ,velX,velY,velZ,quatW,quatX,quatY,quatZ,accRelX,accRelY,accRelZ,accAbsX,accAbsY,accAbsZ
M1,1,L,16.667,-0.01432827,-0.0386647,0.006142251,0,0,0,0,0,0,-0.9821021,0.1398834,0.0648144,-0.1081997,0.2916667,0.9230769,0.28,0.05882474,0.00562036,0.02842137
M1,1,L,33.336,-0.0145294,-0.03782125,0.005512372,-0.0002011266,0.0008434504,-0.0006298795,-1.20659E-05,5.059993E-05,-3.778747E-05,-0.9814597,0.1391997,0.06996052,-0.1116507,0.25,0.9615384,0.32,-0.004575742,0.04239953,0.05327724
M1,1,L,50,-0.0139436,-0.03718726,0.005164735,0.0003846679,0.001477435,-0.0009775162,3.515328E-05,3.804517E-05,-2.086153E-05,-0.9800218,0.1410002,0.07505137,-0.1185055,0.2916667,0.9615384,0.36,0.01220895,0.06330717,0.09194741
M1,1,L,66.672,-0.01369714,-0.03661723,0.004949577,0.0006311275,0.002047464,-0.001192674,1.478284E-05,3.419079E-05,-1.290534E-05,-0.9774392,0.1431071,0.08175023,-0.1320976,0.4166667,1.038462,0.36,0.08154397,0.1699693,0.07833196
M1,1,L,83.341,-0.01312892,-0.03577429,0.005249873,0.001199353,0.002890408,-0.0008923784,3.408873E-05,5.056955E-05,1.801522E-05,-0.9766493,0.1434081,0.0840174,-0.1361293,0.5,1.038462,0.36,0.1501703,0.1948673,0.0879967
M1,1,L,100.007,-0.01243943,-0.03426513,0.005048208,0.001888843,0.004399568,-0.001094043,4.137109E-05,9.05532E-05,-1.210037E-05,-0.9747594,0.1438051,0.08993739,-0.1451742,0.5833333,1.076923,0.4,0.1855392,0.2688673,0.1248693
M1,1,L,116.675,-0.01143319,-0.0334671,0.005066007,0.002895085,0.0051976,-0.001076244,6.036968E-05,4.787807E-05,1.067881E-06,-0.9731882,0.1437037,0.09494407,-0.1524451,0.7083333,1.192308,0.4,0.2499551,0.4174502,0.1081262
M1,1,L,133.347,-0.00973858,-0.03179029,0.005841024,0.004589691,0.006874412,-0.000301227,0.0001016438,0.0001005766,4.648614E-05,-0.9712828,0.1456756,0.09820727,-0.1604478,0.75,1.230769,0.44,0.2440178,0.4810301,0.1337832
M1,1,L,150.006,-0.007685931,-0.02834953,0.007532589,0.00664234,0.01031516,0.001390338,0.0001232155,0.00020654,0.0001015405,-0.9684488,0.1517754,0.0977275,-0.1718156,0.875,1.307692,0.4,0.3136553,0.5915413,0.06558069
M1,1,L,166.683,-0.005340001,-0.02537102,0.008135319,0.008988271,0.01329368,0.001993068,0.0001406686,0.0001786003,3.614136E-05,-0.965944,0.1586754,0.0948725,-0.1810349,0.875,1.307692,0.36,0.297251,0.5864823,-0.0002898943
