tester,trial,rightHanded,timestamp,posX,posY,posZ,posRelX,posRelY,posRelZ,velX,velY,velZ,quatW,quatX,quatY,quatZ,accRelX,accRelY,accRelZ,accAbsX,accAbsY,accAbsZ
M1,1,L,16.678,0.02666556,0.08803178,-0.009416915,0,0,0,0,0,0,-0.9834574,0.1259027,0.05434074,0.118352,-0.2083333,0.9230769,0.24,0.007745993,-0.02387929,-0.01421955
M1,1,L,33.332,0.02685672,0.08919296,-0.009527862,0.0001911558,0.00116118,-0.0001109466,1.147807E-05,6.972381E-05,-6.661858E-06,-0.9831241,0.1264418,0.054593,0.1204126,-0.25,0.8461539,0.24,-0.0476966,-0.08687705,-0.002795739
M1,1,L,49.995,0.02689335,0.0902781,-0.00957913,0.0002277941,0.00224632,-0.000162214,2.198777E-06,6.51227E-05,-3.076723E-06,-0.9822098,0.1286835,0.05588354,0.1248264,-0.2083333,0.8461539,0.24,0.0004801013,-0.0961318,-0.001103863
M1,1,L,66.66801,0.02703286,0.09209525,-0.009853214,0.000367295,0.004063465,-0.0004362985,8.366875E-06,0.0001089872,-1.643882E-05,-0.9819342,0.1299095,0.05727309,0.1250939,-0.1666667,0.8846154,0.28,0.04773521,-0.05901706,0.03153723
M1,1,L,83.33801,0.02736866,0.09292775,-0.01000047,0.0007031001,0.004895963,-0.0005835518,2.014428E-05,4.99399E-05,-8.83343E-06,-0.9817185,0.1310969,0.05744224,0.1254705,-0.2083333,0.8846154,0.28,0.008484076,-0.0493499,0.02322834
M1,1,L,100.002,0.0275572,0.09400479,-0.01050309,0.0008916408,0.005973004,-0.001086175,1.131425E-05,6.463279E-05,-3.016224E-05,-0.9814585,0.1328426,0.05693934,0.1258962,-0.2083333,0.8846154,0.28,0.00968444,-0.04928923,0.02005989
M1,1,L,116.688,0.02772858,0.09457413,-0.01047458,0.001063023,0.006542347,-0.00105767,1.027101E-05,3.412104E-05,1.708374E-06,-0.9812524,0.1323432,0.05483285,0.1289283,-0.25,0.8461539,0.24,-0.03144503,-0.08626246,-0.01308683
M1,1,L,133.344,0.02806698,0.09497831,-0.01070309,0.001401421,0.006946526,-0.001286171,2.031687E-05,2.426626E-05,-1.371889E-05,-0.9812387,0.1322501,0.05425083,0.1293732,-0.25,0.8461539,0.24,-0.0305255,-0.08622599,-0.01271065
M1,1,L,150.006,0.02870958,0.09536796,-0.0106447,0.002044015,0.007336177,-0.001227789,3.856642E-05,2.338557E-05,3.503945E-06,-0.9811416,0.1333309,0.0527862,0.1296055,-0.25,0.8846154,0.24,-0.01934324,-0.05041784,-0.02374661
M1,1,L,166.683,0.02941747,0.09575734,-0.01055359,0.002751913,0.007725559,-0.001136675,4.244757E-05,2.334845E-05,5.463401E-06,-0.9808499,0.1350385,0.05186758,0.1304147,-0.25,0.8846154,0.28,-0.02007136,-0.03932035,0.0116676
