tester,trial,rightHanded,timestamp,posX,posY,posZ,posRelX,posRelY,posRelZ,velX,velY,velZ,quatW,quatX,quatY,quatZ,accRelX,accRelY,accRelZ,accAbsX,accAbsY,accAbsZ
M1,1,L,16.649,0.002929281,0.08754686,-0.01571834,0,0,0,0,0,0,-0.9424675,0.2723063,0.06174956,-0.1838243,0.4166667,1.038462,0.6,-0.06947521,0.2670066,-0.04336931
M1,1,L,33.343,0.002574172,0.08812004,-0.01638351,-0.0003551096,0.0005731806,-0.0006651729,-2.127168E-05,3.433452E-05,-3.984502E-05,-0.9513959,0.2697691,0.06669717,-0.1327481,0.3333333,1.038462,0.52,-0.009555173,0.2046211,-0.0933297
M1,1,L,49.985,0.002885122,0.08945316,-0.0166046,-4.415959E-05,0.001906306,-0.0008862615,1.868465E-05,8.010605E-05,-1.328497E-05,-0.9601911,0.2597247,0.07631358,-0.06893626,0.2083333,1.076923,0.48,0.01651681,0.1915939,-0.1157468
M1,1,L,66.651,0.002970014,0.09094672,-0.01690969,4.073232E-05,0.003399864,-0.001191348,5.093718E-06,8.961707E-05,-1.830591E-05,-0.9659985,0.2397475,0.0941342,0.02251401,0.1666667,1.192308,0.48,0.1871084,0.2786738,-0.0987891
M1,1,L,83.33701,0.002967034,0.09413569,-0.01731451,3.775209E-05,0.006588839,-0.001596168,-1.786067E-07,0.0001911167,-2.426104E-05,-0.9585788,0.2120625,0.1204562,0.1471269,0.125,1.192308,0.48,0.4322871,0.216741,0.01708531
M1,1,L,99.991,0.002915807,0.09687985,-0.01754007,-1.347438E-05,0.009332992,-0.001821727,-3.075925E-06,0.0001647744,-1.354382E-05,-0.9395102,0.1888825,0.1415743,0.2481951,0.2083333,1,0.48,0.6114748,-0.07648057,0.2168252
M1,1,L,116.666,0.003210105,0.09916355,-0.01744883,0.0002808236,0.0116167,-0.001730487,1.764905E-05,0.0001369539,5.471651E-06,-0.882183,0.144903,0.1732465,0.4132093,0.2083333,0.8076923,0.48,0.664846,-0.4520243,0.4288031
M1,1,L,133.324,0.003421657,0.1028723,-0.01840048,0.0004923753,0.01532542,-0.002682135,1.269971E-05,0.000222639,-5.712857E-05,-0.8554924,0.1297061,0.1826537,0.4668478,-0.04166667,0.3846154,0.44,0.2204977,-0.5919836,0.3580062
M1,1,L,150.001,0.00422449,0.107165,-0.01913251,0.001295209,0.01961818,-0.003414169,4.814016E-05,0.0002574062,-4.389484E-05,-0.7549478,0.09189618,0.2030651,0.6167443,-0.25,-0.03846154,0.36,-0.1460186,-0.6449544,0.2149431
M1,1,L,166.664,0.005881596,0.1111218,-0.02011076,0.002952315,0.02357492,-0.004392415,9.944826E-05,0.0002374564,-5.870771E-05,-0.7142841,0.09040613,0.1967254,0.6655255,-0.5,-0.6923077,0.28,-0.7462072,-0.5006413,-0.03880425
M1,1,L,183.329,0.00993564,0.1136287,-0.02086709,0.007006358,0.02608189,-0.005148754,0.0002432668,0.0001504332,-4.53848E-05,-0.6946608,0.09372378,0.1857204,0.6886002,-0.5833333,-0.9230769,0.28,-0.9412305,-0.3856326,-0.08594707
M1,1,L,200.002,0.01516852,0.1150491,-0.02002338,0.01223924,0.02750222,-0.004305035,0.0003138535,8.518764E-05,5.060387E-05,-0.6888639,0.09334282,0.1820075,0.6954329,-0.7083333,-0.9230769,0.28,-0.9259062,-0.2526537,-0.127977
M1,1,L,216.669,0.02144956,0.1154796,-0.01853561,0.01852028,0.02793279,-0.002817273,0.0003768548,2.583363E-05,8.926395E-05,-0.6707578,0.08319408,0.1749954,0.7159186,-0.8333333,-0.7307692,0.24,-0.6789355,-0.1085541,-0.1744678
M1,1,L,233.337,0.02589479,0.1148969,-0.0166287,0.02296551,0.02735002,-0.0009103566,0.0002666928,-3.496337E-05,0.0001144058,-0.6619781,0.07273081,0.1741864,0.7253649,-1,-0.2692308,0.24,-0.182412,0.03570294,-0.1553397
M1,1,L,250.006,0.02667194,0.1112613,-0.01402742,0.02374266,0.02371448,0.001690924,4.662209E-05,-0.0002181018,0.0001560549,-0.6684802,0.06595468,0.1732953,0.7202451,-0.9583333,-0.1923077,0.32,-0.1398116,0.01789463,-0.04613599
M1,1,L,266.676,0.02445422,0.1073656,-0.0126244,0.02152494,0.01981877,0.003093943,-0.0001330363,-0.0002336959,8.416422E-05,-0.6737909,0.06404588,0.1725749,0.715627,-1,-0.1153846,0.32,-0.07510131,0.05266213,-0.04445169
M1,1,L,283.343,0.01999208,0.1044643,-0.01163695,0.01706279,0.01691744,0.004081391,-0.0002677235,-0.0001740764,5.92457E-05,-0.6974445,0.05898038,0.1692378,0.6938667,-1.25,0.07692308,0.2,0.07037435,0.2506237,-0.1985069
M1,1,L,300.02,0.01519287,0.1015745,-0.01125138,0.01226358,0.01402766,0.004466958,-0.0002877741,-0.000173279,2.311971E-05,-0.7342342,0.0597561,0.1660546,0.6555572,-1.291667,0.1538462,0.16,0.01444327,0.2871982,-0.2461374
M1,1,L,316.683,0.009656996,0.09822273,-0.01011454,0.006727714,0.01067588,0.005603798,-0.0003322254,-0.0002011514,6.822539E-05,-0.7651956,0.0669181,0.1643714,0.6188536,-1.208333,0.1538462,0.2,-0.1021607,0.2136154,-0.2010945
M1,1,L,333.35,0.00383291,0.09491594,-0.009963803,0.0009036288,0.007369086,0.005754538,-0.0003494383,-0.0001984036,9.044231E-06,-0.8213188,0.08929639,0.1603149,0.5401487,-0.9166667,0,0.24,-0.3747033,-0.136147,-0.1059859
M1,1,L,350.025,-0.002193524,0.09234312,-0.01012057,-0.005122805,0.004796267,0.00559777,-0.0003614049,-0.0001542918,-9.401348E-06,-0.8937776,0.1333688,0.1496062,0.4012384,-0.4166667,-0.03846154,0.12,-0.3122241,-0.6994733,-0.04111157
M1,1,L,366.689,-0.009138245,0.09192576,-0.01084072,-0.01206753,0.004378907,0.004877619,-0.0004167499,-2.504555E-05,-4.321595E-05,-0.9530642,0.2009179,0.1372173,0.1801998,0.5,0.1538462,0.28,0.4570659,-0.8916588,0.3625211
M1,1,L,383.36,-0.01508398,0.09200366,-0.01212564,-0.01801326,0.004456803,0.0035927,-0.0003566516,4.672537E-06,-7.707518E-05,-0.9608582,0.2446311,0.1298803,0.006191439,1.041667,0.2692308,0.48,0.9084044,-0.4827889,0.5433679
M1,1,L,400.027,-0.02246241,0.09194642,-0.0142078,-0.02539169,0.00439956,0.001510546,-0.0004426969,-3.434501E-06,-0.0001249268,-0.9550369,0.2596303,0.1263058,-0.06740516,1.5,0.5769231,0.64,1.225267,0.09189081,0.5467495
M1,1,L,416.696,-0.02991691,0.09008279,-0.01644395,-0.03284619,0.002535932,-0.000725612,-0.0004472072,-0.000111802,-0.0001341506,-0.8737191,0.3011014,0.09898052,-0.3689929,2.083333,1.115385,0.88,0.4747386,1.47564,-0.06774537
M1,1,L,433.363,-0.03812432,0.08645575,-0.01868698,-0.0410536,-0.001091108,-0.002968639,-0.0004924348,-0.0002176181,-0.000134579,-0.8391743,0.3020768,0.07745064,-0.4455755,1.833333,1.269231,0.76,-0.1097934,1.323282,-0.374121
M1,1,L,450.039,-0.04502803,0.08026362,-0.02058427,-0.04795731,-0.007283233,-0.004865929,-0.0004139902,-0.000371319,-0.0001137735,-0.8112599,0.2995788,0.04872936,-0.4997351,1.083333,1.423077,0.52,-0.7720411,0.5943178,-0.5755532
M1,1,L,466.703,-0.04740779,0.07330646,-0.02042006,-0.05033708,-0.01424039,-0.004701719,-0.0001428087,-0.0004174962,9.854222E-06,-0.8080462,0.2989675,0.03410412,-0.5064749,0.625,1.307692,0.36,-0.8696563,0.08884978,-0.537018
M1,1,L,483.368,-0.04421163,0.06965328,-0.01893322,-0.04714091,-0.01789358,-0.003214881,0.0001917895,-0.0002192132,8.92193E-05,-0.8090665,0.2996031,0.02178557,-0.5051482,0.125,0.8076923,0.28,-0.683197,-0.5161262,-0.2133066
M1,1,L,500.038,-0.03796583,0.06845666,-0.01685461,-0.04089511,-0.01909019,-0.001136273,0.0003746727,-7.17825E-05,0.0001246914,-0.809849,0.2992319,0.02155313,-0.5041233,0.2083333,0.6153846,0.36,-0.5134721,-0.4681526,-0.07201278
M1,1,L,516.708,-0.03207472,0.07097275,-0.01561308,-0.035004,-0.01657411,0.0001052618,0.0003533961,0.000150935,7.447727E-05,-0.8115314,0.2964661,0.02516851,-0.5028828,0.6666667,0.5,0.6,-0.2754251,-0.01317245,0.06897059
M1,1,L,533.377,-0.02873791,0.07377984,-0.01552109,-0.0316672,-0.01376701,0.0001972467,0.0002001803,0.0001684021,5.518317E-06,-0.8152298,0.2925108,0.02718619,-0.4990978,0.9583333,0.6538461,0.72,-0.2843388,0.335155,0.02880722
M1,1,L,550.05,-0.02741584,0.07596932,-0.01652393,-0.03034512,-0.01157753,-0.0008055866,7.929401E-05,0.0001313186,-6.014701E-05,-0.8218457,0.2917664,0.02376153,-0.488751,0.875,0.7307692,0.64,-0.3284844,0.264354,-0.05249488
M1,2,L,16.661,0.001350354,0.1144775,-0.03099109,0,0,0,0,0,0,-0.9620388,0.2502042,0.01118827,-0.1084168,0.2083333,0.8461539,0.48,-0.004763094,-0.005141318,0.003562295
M1,2,L,33.331,0.001071062,0.115134,-0.0315281,-0.0002792925,0.0006565154,-0.000537008,-1.675419E-05,3.938304E-05,-3.221404E-05,-0.9620388,0.2502042,0.01118827,-0.1084168,0.2083333,0.8461539,0.48,-0.004763094,-0.005141318,0.003562295
M1,2,L,49.994,0.0005415492,0.1155815,-0.03221723,-0.0008088052,0.001103982,-0.001226142,-3.177775E-05,2.685392E-05,-4.135713E-05,-0.9611678,0.2516306,0.01577406,-0.1122044,0.2083333,0.8461539,0.48,-0.01446941,-0.005229533,0.001233504
M1,2,L,66.673,0.000308603,0.1166146,-0.03265108,-0.001041751,0.00213705,-0.001659989,-1.396643E-05,6.193822E-05,-2.601158E-05,-0.9583693,0.2562526,0.01894261,-0.1245154,0.2916667,0.8461539,0.52,0.03661805,0.03418684,0.02371563
M1,2,L,83.332,-7.933751E-05,0.1168527,-0.03355044,-0.001429692,0.002375215,-0.002559349,-2.328715E-05,1.429649E-05,-5.398641E-05,-0.9559011,0.2603729,0.02051149,-0.1343064,0.4583333,0.9615384,0.64,0.1349334,0.234111,0.05466876
M1,2,L,100.001,-0.000930693,0.1176048,-0.03468384,-0.002281047,0.003127262,-0.003692746,-5.107416E-05,4.511646E-05,-6.799428E-05,-0.9540649,0.2654443,0.0211624,-0.1373018,0.5,1.115385,0.72,0.1194561,0.4132588,0.0302095
M1,2,L,116.668,-0.001735935,0.1180491,-0.0359219,-0.003086289,0.003571585,-0.004930809,-4.831355E-05,2.665883E-05,-7.428229E-05,-0.9547714,0.2723038,0.02318166,-0.1171523,0.375,0.9615384,0.68,0.08785298,0.2310646,0.06590085
M1,2,L,133.342,-0.001747081,0.1187757,-0.03732021,-0.003097435,0.00429821,-0.006329119,-6.684698E-07,4.357833E-05,-8.386168E-05,-0.9575828,0.2752593,0.02788617,-0.08055913,0.2916667,0.7692308,0.6,0.1219028,0.005762577,0.101818
M1,2,L,150.011,-0.0020705,0.1209727,-0.03858574,-0.003420854,0.006495193,-0.007594645,-1.94024E-05,0.0001318006,-7.592095E-05,-0.9619127,0.2702186,0.0407458,-0.006763235,0.3333333,0.8076923,0.56,0.2935287,-0.007847369,0.08094457
M1,2,L,166.672,-0.001671251,0.1225799,-0.03936638,-0.003021605,0.008102417,-0.008375287,2.396305E-05,9.646619E-05,-4.685442E-05,-0.9624863,0.2664467,0.04608839,0.02240755,0.4166667,1,0.68,0.4299632,0.1994474,0.1116639
M1,2,L,183.348,-0.0006324165,0.1257035,-0.03971928,-0.001982771,0.01122595,-0.008728191,6.229519E-05,0.0001873073,-2.11624E-05,-0.9545571,0.2465684,0.06842747,0.1527825,0.6666667,1.038462,0.68,0.9296405,0.02606845,0.2611497
M1,2,L,200.017,0.0007953569,0.1298989,-0.04003327,-0.0005549975,0.01542135,-0.009042174,8.565437E-05,0.0002516882,-1.88363E-05,-0.9107093,0.2052214,0.09824617,0.3447324,0.7916667,0.3461539,0.52,0.8000527,-1.000847,0.6139003
M1,2,L,216.679,0.002982657,0.133054,-0.03940777,0.001632303,0.01857652,-0.008416682,0.0001312747,0.0001893633,3.753997E-05,-0.8471054,0.1612822,0.1206916,0.4917664,0.5,0.07692308,0.4,0.2923428,-1.204616,0.5372011
M1,2,L,233.355,0.005766973,0.1351605,-0.03896511,0.004416618,0.02068299,-0.007974014,0.0001669655,0.0001263177,2.654527E-05,-0.7463037,0.110682,0.1425294,0.6406758,0,-0.3076923,0.28,-0.3238042,-0.9501656,0.2564019
M1,2,L,250.022,0.01204162,0.1363741,-0.03609674,0.01069126,0.02189654,-0.005105644,0.0003764709,7.281153E-05,0.0001720986,-0.6386802,0.0780925,0.1401992,0.7525511,-0.625,-1.230769,0.16,-1.112424,-0.1848702,-0.1705679
M1,2,L,266.688,0.01936627,0.1361482,-0.03320219,0.01801592,0.02167064,-0.002211094,0.0004394968,-1.355464E-05,0.00017368,-0.6291213,0.0785844,0.1302881,0.7622701,-0.9166667,-1.538462,0.08,-1.330881,0.1526276,-0.3372618
M1,2,L,283.36,0.02805974,0.132838,-0.02870208,0.02670939,0.0183605,0.002289012,0.0005214415,-0.0001985451,0.00026992,-0.6362622,0.08330879,0.09759337,0.760727,-1.041667,-1.346154,0.04,-1.14111,0.2322054,-0.2798865
M1,2,L,300.048,0.03521155,0.1278088,-0.02415319,0.0338612,0.01333129,0.006837904,0.0004285602,-0.0003013665,0.0002725848,-0.6404684,0.06164455,0.08787087,0.7604465,-1.125,-0.9230769,0.04,-0.7164063,0.2436911,-0.2434958
M1,2,L,316.695,0.04240232,0.1211552,-0.01902796,0.04105197,0.006677717,0.01196313,0.0004319559,-0.0003996861,0.0003078767,-0.6401631,0.05388566,0.08670491,0.7614261,-1.666667,-0.3076923,-0.12,-0.00840423,0.6359681,-0.4586822
M1,2,L,333.364,0.04684921,0.1142642,-0.01398684,0.04549886,-0.0002132803,0.01700425,0.0002667757,-0.0004134018,0.0003024249,-0.648058,0.04004788,0.08294752,0.7560005,-1.708333,-0.3076923,-0.12,-0.02998111,0.686316,-0.4276883
M1,2,L,350.035,0.04652791,0.1064367,-0.008924164,0.04517756,-0.008040875,0.02206693,-1.927293E-05,-0.0004695338,0.0003036818,-0.6771801,0.04219224,0.07903578,0.7303426,-1.333333,-0.1923077,0,-0.08577807,0.3235009,-0.2361088
M1,2,L,366.726,0.0426314,0.1004909,-0.006917961,0.04128104,-0.01398662,0.02407313,-0.0002334497,-0.0003562247,0.0001201966,-0.7183506,0.0470105,0.07620709,0.6898949,-1.208333,-0.07692308,0.04,-0.1226541,0.1925578,-0.1742091
M1,2,L,383.398,0.03745652,0.09764741,-0.006294467,0.03610617,-0.01683012,0.02469663,-0.0003103932,-0.0001705554,3.73977E-05,-0.7685344,0.05597803,0.07249923,0.633218,-1.166667,0.07692308,0,-0.1433237,0.1408007,-0.2122729
M1,2,L,400.042,0.03220894,0.09554364,-0.005758852,0.03085858,-0.01893389,0.02523224,-0.0003152836,-0.0001263979,3.218063E-05,-0.7846299,0.06047611,0.07114384,0.6128925,-1.208333,0.2307692,-0.04,-0.06287429,0.2001882,-0.2655552
M1,2,L,416.705,0.02754999,0.09516921,-0.007703997,0.02619964,-0.01930832,0.0232871,-0.0002795983,-2.247068E-05,-0.0001167344,-0.8734674,0.1023604,0.06197072,0.4719499,-0.9166667,0.1923077,0.04,-0.3407501,-0.1437669,-0.1720881
M1,2,L,433.38,0.02205887,0.09583269,-0.008854829,0.02070852,-0.01864484,0.02213626,-0.0003293021,3.978896E-05,-6.90153E-05,-0.9277793,0.147386,0.0543822,0.3384458,-0.2083333,0.03846154,0.24,-0.1348779,-0.7700551,0.1772438
M1,2,L,450.048,0.01591162,0.09909978,-0.01055898,0.01456127,-0.01537775,0.02043211,-0.0003688057,0.0001960095,-0.0001022408,-0.9693365,0.207267,0.04404,0.1244488,0.625,0.1538462,0.48,0.626923,-0.8053819,0.4623689
M1,2,L,466.713,0.01110887,0.1035907,-0.01373639,0.009758513,-0.01088686,0.0172547,-0.0002881943,0.0002694807,-0.000190664,-0.9725022,0.2296706,0.03845498,-0.003472174,0.9166667,0.4230769,0.6,0.8727155,-0.3313181,0.4129215
M1,2,L,483.386,0.006430976,0.1079693,-0.01669174,0.005080622,-0.006508246,0.01429935,-0.0002805668,0.0002626171,-0.0001772539,-0.9588303,0.2385152,0.02728676,-0.1516921,1.125,1.076923,0.68,0.6875105,0.5521269,0.07758789
M1,3,L,16.66,0.005329788,0.1154264,-0.03160886,0,0,0,0,0,0,-0.9738433,0.2107596,-0.03243036,-0.07847221,0.08333334,0.8846154,0.4,-0.05313029,-0.02703708,-0.003023703
M1,3,L,33.321,0.00476522,0.1153711,-0.03207143,-0.0005645677,-5.528331E-05,-0.0004625618,-3.388558E-05,-3.318126E-06,-2.776314E-05,-0.9733815,0.2133315,-0.03199468,-0.07742499,0.125,0.8461539,0.4,-0.004143856,-0.05576962,0.003637272
M1,3,L,49.995,0.004987568,0.1153733,-0.03217103,-0.0003422201,-5.312264E-05,-0.0005621612,1.333499E-05,1.295831E-07,-5.973333E-06,-0.9730379,0.2151195,-0.03163747,-0.07694158,0.125,0.8461539,0.4,-0.00355966,-0.05576026,0.0002307793
M1,3,L,66.681,0.005094495,0.1154494,-0.0323801,-0.0002352931,2.302229E-05,-0.0007712394,6.408187E-06,4.563403E-06,-1.253016E-05,-0.972274,0.2184819,-0.03091781,-0.07741538,0.125,0.8846154,0.44,-0.01028743,-0.004272819,0.01381615
M1,3,L,83.327,0.004981697,0.115267,-0.03278561,-0.0003480911,-0.0001593977,-0.001176745,-6.776284E-06,-1.095879E-05,-2.436052E-05,-0.9719214,0.2190132,-0.0298706,-0.08068316,0.1666667,0.8846154,0.44,0.02388377,0.001633167,0.009095537
M1,3,L,100,0.004884996,0.1151462,-0.03284571,-0.0004447922,-0.0002801716,-0.001236841,-5.799859E-06,-7.24368E-06,-3.604412E-06,-0.9720838,0.217136,-0.02834209,-0.08427191,0.1666667,0.9615384,0.44,0.002801785,0.07031429,-0.01879949
M1,3,L,124.314,0.0046639,0.1148752,-0.03321806,-0.0006658882,-0.0005511642,-0.001609191,-9.093362E-06,-1.114554E-05,-1.531423E-05,-0.9717483,0.2171722,-0.02583118,-0.0887365,0.2083333,1,0.48,0.02669277,0.1283114,-0.001895411
M1,3,L,133.347,0.004382856,0.1146366,-0.03332524,-0.0009469315,-0.0007898062,-0.001716375,-3.111297E-05,-2.641892E-05,-1.186583E-05,-0.9716121,0.2178391,-0.02524398,-0.08876281,0.2083333,1.076923,0.52,0.01258548,0.2138399,0.0006624518
M1,3,L,150.021,0.004304353,0.1144995,-0.033582,-0.001025435,-0.0009268522,-0.001973137,-4.708107E-06,-8.219135E-06,-1.539893E-05,-0.9719627,0.2178559,-0.02389359,-0.08518419,0.2083333,1.115385,0.48,0.01324074,0.2308836,-0.05133992
M1,3,L,166.705,0.004066419,0.1145891,-0.03385651,-0.001263369,-0.0008373111,-0.002247646,-1.426123E-05,5.366885E-06,-1.645345E-05,-0.973523,0.2182804,-0.0190085,-0.06515627,0.125,1.076923,0.44,-0.01794033,0.1680677,-0.06545538
M1,3,L,183.348,0.003996924,0.1152389,-0.03439474,-0.001332864,-0.0001875013,-0.002785876,-4.175645E-06,3.904401E-05,-3.23397E-05,-0.9746369,0.2177933,-0.01496719,-0.04924367,0.08333334,1.076923,0.44,-0.02410325,0.1644363,-0.06176595
M1,3,L,200.016,0.004215393,0.1162602,-0.03474979,-0.001114395,0.0008338541,-0.003140926,1.310713E-05,6.127642E-05,-2.130129E-05,-0.976932,0.2135468,-0.001272233,0.0001693918,0.125,1.230769,0.48,0.1259661,0.3186839,-0.07760984
